100m,Longueur,Poids,Hauteur,400m,110m H,Disque,Perche,Javelot,1500m,Classement,Decastar,JO,Averyanov,BARRAS,BERNARD,BOURGUIGNON,Barras,Bernard,CLAY,Casarsa,Clay,Drews,Gomez,HERNU,Hernu,KARPOV,Karlivans,Karpov,Korkizoglou,Lorenzo,MARTINEAU,Macey,McMULLEN,NOOL,Nool,Ojaniemi,Parkhomenko,Pogorelov,Qi,SEBRLE,Schoenbeck,Schwarzl,Sebrle,Smirnov,Smith,Terek,Turi,Uldal,WARNERS,Warners,YURKOV,ZSIVOCZKY,Zsivoczky,Points
-0.5698663894041053,1.8558855723391496,2.312292344511444,1.6295499707818029,-1.1027334434773701,-1.1928190685527962,1.3171064236733379,0.8651521891796456,2.559659402938313,0.08543980450351196,-1.4219206548069976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8893
-2.1480301465512395,2.2398618976506985,0.9246174180708325,0.9466380579839775,-0.3742143388077026,-1.02114524034511,1.7337234802595822,0.500971082851459,2.389762355387484,0.2580328634151703,-1.2940725257563686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8820
-1.9170793528223888,1.7598914910112615,1.784239053918999,1.2880940143828876,-2.4632209281014488,-1.3644928967604824,2.1952992120170034,-0.5915722361331075,-0.5823872295449021,-0.07934753817595808,-1.1662243967057393,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8725
-0.41589919358486915,0.6719585692952074,1.5386328722480949,1.971005927180713,-0.5673157882382163,-0.09839841372879769,1.2032111132396899,-1.3199344487894809,0.030081139403762433,-1.1799535269141157,-1.03837626765511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8414
-1.4551777653646942,1.5359053012461934,0.0035942368049389846,-0.07772981121276061,-1.4450496492860103,-1.2786559826566413,-0.1785188370211646,0.500971082851459,-0.613849645758018,-0.08455134899741529,-0.9105281386044809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8343
-0.33891559567525453,-0.3839763253115519,1.0228598907391946,1.6295499707818029,-0.18989022798766508,0.7385114987836695,0.387960470135671,-0.22739112980491757,1.076730852093432,-0.8226251838407339,-0.7826800095538518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8287
-0.10796480194640377,-0.223986189765071,0.21235949122520809,0.6051821015850622,-0.7779719148896886,-0.7636344980335824,0.11820841910860691,0.1367899765232691,-0.11674346959078094,-1.272754819896765,-0.6548318805032226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8237
-0.7623253841781419,0.8639467319509833,-0.26657256303305726,-1.1020976804094986,-0.7077532060058603,0.4166230708942611,-0.6820559989383516,2.321876614492399,0.6320620362813872,-0.23372725921251863,-0.5269837514525934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8235
-1.1857351726810361,0.7039565964045053,0.39656412747838726,1.6295499707818029,-0.426878370470566,-0.9353083262412687,0.12720015414284272,-1.3199344487894809,-0.6390195787285106,-0.23546186281966938,-0.3991356224019642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8225
-0.06947300299159645,0.7359546235138003,-0.5735802901216884,-0.4191857676116733,0.1260939619895403,-0.7636344980335824,-0.5681606885047014,1.2293332955078324,-0.41878266523669705,-0.4739698588031157,-0.271287493351335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8102
